year,month,monthly_demand_TJ
2017,1,10229.3
2017,2,7672.2
2017,3,6644.5
2017,4,5838.4
2017,5,4542.2
2017,6,3478.8
2017,7,3228.2
2017,8,3310.3
2017,9,4265.5
2017,10,5540.9
2017,11,7150.2
2017,12,8288.7
2018,1,8349.2
2018,2,8214.6
2018,3,8116.1
2018,4,4599.2
2018,5,3779.7
2018,6,3445.6
2018,7,3275.6
2018,8,3201.9
2018,9,3589
2018,10,5421.2
2018,11,6917.4
2018,12,8311.9
2019,1,9128.7
2019,2,7289.2
2019,3,6680
2019,4,5256.6
2019,5,4945.3
2019,6,3354.3
2019,7,3125.7
2019,8,3274.9
2019,9,3936.9
2019,10,5478.2
2019,11,6687.6
2019,12,7855
2020,1,8449.7
2020,2,6904.6
2020,3,6801.4
2020,4,4995
2020,5,4486.2
2020,6,3552.4
2020,7,3321.2
2020,8,3184.7
2020,9,3646.1
2020,10,5419.7
2020,11,6680
2020,12,7507.6
2021,1,8348.9
2021,2,7516.3
2021,3,7117.4
2021,4,5911.8
2021,5,4767.6
2021,6,3290.6
2021,7,3111.2
2021,8,3271
2021,9,3704.6
2021,10,5332.8
2021,11,6674.8
2021,12,7863.2
