MARKET_NODE,TARGET_YEAR,CAPACITY_MW,TECHNOLOGY,DATA_VERSION,STATUS
AL00,2026,0,Non-market batteries,Post-CfE,Non-Market
AL00,2026,1822,Reservoir,Post-CfE,Market
AL00,2026,1822,Reservoir,Pre-CfE,Market
AL00,2026,421,Run of river,Post-CfE,Market
AL00,2026,421,Run of river,Pre-CfE,Market
AL00,2026,350,Solar (PV),Post-CfE,Market
AL00,2026,350,Solar (PV),Pre-CfE,Market
AL00,2026,0,Implicit solar PV,Post-CfE,Market
AL00,2026,0,Implicit solar PV,Pre-CfE,Market
AL00,2026,100,Wind onshore,Post-CfE,Market
AL00,2026,100,Wind onshore,Pre-CfE,Market
AL00,2028,300,Gas,Post-CfE,Market
AL00,2028,300,Gas,Pre-CfE,Market
AL00,2028,0,Non-market batteries,Post-CfE,Non-Market
AL00,2028,1822,Reservoir,Post-CfE,Market
AL00,2028,1822,Reservoir,Pre-CfE,Market
AL00,2028,421,Run of river,Post-CfE,Market
AL00,2028,421,Run of river,Pre-CfE,Market
AL00,2028,550,Solar (PV),Post-CfE,Market
AL00,2028,550,Solar (PV),Pre-CfE,Market
AL00,2028,0,Implicit solar PV,Post-CfE,Market
AL00,2028,0,Implicit solar PV,Pre-CfE,Market
AL00,2028,200,Wind onshore,Post-CfE,Market
AL00,2028,200,Wind onshore,Pre-CfE,Market
AL00,2030,300,Gas,Post-CfE,Market
AL00,2030,300,Gas,Pre-CfE,Market
AL00,2030,0,Non-market batteries,Post-CfE,Non-Market
AL00,2030,2032,Reservoir,Post-CfE,Market
AL00,2030,2032,Reservoir,Pre-CfE,Market
AL00,2030,491,Run of river,Post-CfE,Market
AL00,2030,491,Run of river,Pre-CfE,Market
AL00,2030,700,Solar (PV),Post-CfE,Market
AL00,2030,700,Solar (PV),Pre-CfE,Market
AL00,2030,0,Implicit solar PV,Post-CfE,Market
AL00,2030,0,Implicit solar PV,Pre-CfE,Market
AL00,2030,300,Wind onshore,Post-CfE,Market
AL00,2030,300,Wind onshore,Pre-CfE,Market
AL00,2035,300,Gas,Post-CfE,Market
AL00,2035,300,Gas,Pre-CfE,Market
AL00,2035,0,Non-market batteries,Post-CfE,Non-Market
AL00,2035,2032,Reservoir,Post-CfE,Market
AL00,2035,2032,Reservoir,Pre-CfE,Market
AL00,2035,491,Run of river,Post-CfE,Market
AL00,2035,491,Run of river,Pre-CfE,Market
AL00,2035,1100,Solar (PV),Post-CfE,Market
AL00,2035,1100,Solar (PV),Pre-CfE,Market
AL00,2035,0,Implicit solar PV,Post-CfE,Market
AL00,2035,0,Implicit solar PV,Pre-CfE,Market
AL00,2035,500,Wind onshore,Post-CfE,Market
AL00,2035,500,Wind onshore,Pre-CfE,Market
AT00,2026,462,Battery,Post-CfE,Market
AT00,2026,1937,Battery,Pre-CfE,Market
AT00,2026,270,DSR,Post-CfE,Market
AT00,2026,270,DSR,Pre-CfE,Market
AT00,2026,3695,Gas,Post-CfE,Market
AT00,2026,3695,Gas,Pre-CfE,Market
AT00,2026,1180,Non-market batteries,Post-CfE,Non-Market
AT00,2026,122,Oil,Post-CfE,Market
AT00,2026,122,Oil,Pre-CfE,Market
AT00,2026,4190,Open loop pumping,Post-CfE,Market
AT00,2026,4190,Open loop pumping,Pre-CfE,Market
AT00,2026,959,Others (non-RES),Post-CfE,Market
AT00,2026,959,Others (non-RES),Pre-CfE,Market
AT00,2026,549,Others (RES),Pre-CfE,Market
AT00,2026,1149,Pondage,Post-CfE,Market
AT00,2026,1149,Pondage,Pre-CfE,Market
AT00,2026,2532,Reservoir,Post-CfE,Market
AT00,2026,2532,Reservoir,Pre-CfE,Market
AT00,2026,4810,Run of river,Post-CfE,Market
AT00,2026,4810,Run of river,Pre-CfE,Market
AT00,2026,549,Small biomass,Post-CfE,Market
AT00,2026,8256,Solar (PV),Post-CfE,Market
AT00,2026,8256,Solar (PV),Pre-CfE,Market
AT00,2026,0,Implicit solar PV,Post-CfE,Market
AT00,2026,6514,Implicit solar PV,Pre-CfE,Market
AT00,2026,5636,Wind onshore,Post-CfE,Market
AT00,2026,5636,Wind onshore,Pre-CfE,Market
AT00,2028,874,Battery,Post-CfE,Market
AT00,2028,2782,Battery,Pre-CfE,Market
AT00,2028,490,DSR,Post-CfE,Market
AT00,2028,490,DSR,Pre-CfE,Market
AT00,2028,3695,Gas,Post-CfE,Market
AT00,2028,3695,Gas,Pre-CfE,Market
AT00,2028,1526,Non-market batteries,Post-CfE,Non-Market
AT00,2028,122,Oil,Post-CfE,Market
AT00,2028,122,Oil,Pre-CfE,Market
AT00,2028,4360,Open loop pumping,Post-CfE,Market
AT00,2028,4360,Open loop pumping,Pre-CfE,Market
AT00,2028,959,Others (non-RES),Post-CfE,Market
AT00,2028,959,Others (non-RES),Pre-CfE,Market
AT00,2028,594,Others (RES),Pre-CfE,Market
AT00,2028,1149,Pondage,Post-CfE,Market
AT00,2028,1149,Pondage,Pre-CfE,Market
AT00,2028,2532,Reservoir,Post-CfE,Market
AT00,2028,2532,Reservoir,Pre-CfE,Market
AT00,2028,4954,Run of river,Post-CfE,Market
AT00,2028,4954,Run of river,Pre-CfE,Market
AT00,2028,594,Small biomass,Post-CfE,Market
AT00,2028,10628,Solar (PV),Post-CfE,Market
AT00,2028,10628,Solar (PV),Pre-CfE,Market
AT00,2028,0,Implicit solar PV,Post-CfE,Market
AT00,2028,7947,Implicit solar PV,Pre-CfE,Market
AT00,2028,7318,Wind onshore,Post-CfE,Market
AT00,2028,7318,Wind onshore,Pre-CfE,Market
AT00,2030,1284,Battery,Post-CfE,Market
AT00,2030,3565,Battery,Pre-CfE,Market
AT00,2030,300,Closed loop pumping,Post-CfE,Market
AT00,2030,450,Closed loop pumping,Pre-CfE,Market
AT00,2030,710,DSR,Post-CfE,Market
AT00,2030,710,DSR,Pre-CfE,Market
AT00,2030,3280,Gas,Post-CfE,Market
AT00,2030,3280,Gas,Pre-CfE,Market
AT00,2030,1825,Non-market batteries,Post-CfE,Non-Market
AT00,2030,122,Oil,Post-CfE,Market
AT00,2030,122,Oil,Pre-CfE,Market
AT00,2030,5800,Open loop pumping,Post-CfE,Market
AT00,2030,5800,Open loop pumping,Pre-CfE,Market
AT00,2030,959,Others (non-RES),Post-CfE,Market
AT00,2030,959,Others (non-RES),Pre-CfE,Market
AT00,2030,640,Others (RES),Pre-CfE,Market
AT00,2030,1149,Pondage,Post-CfE,Market
AT00,2030,1149,Pondage,Pre-CfE,Market
AT00,2030,2532,Reservoir,Post-CfE,Market
AT00,2030,2532,Reservoir,Pre-CfE,Market
AT00,2030,5216,Run of river,Post-CfE,Market
AT00,2030,5216,Run of river,Pre-CfE,Market
AT00,2030,640,Small biomass,Post-CfE,Market
AT00,2030,13000,Solar (PV),Post-CfE,Market
AT00,2030,13000,Solar (PV),Pre-CfE,Market
AT00,2030,0,Implicit solar PV,Post-CfE,Market
AT00,2030,9184,Implicit solar PV,Pre-CfE,Market
AT00,2030,9000,Wind onshore,Post-CfE,Market
AT00,2030,9000,Wind onshore,Pre-CfE,Market
AT00,2035,3534,Battery,Post-CfE,Market
AT00,2035,7312,Battery,Pre-CfE,Market
AT00,2035,300,Closed loop pumping,Post-CfE,Market
AT00,2035,450,Closed loop pumping,Pre-CfE,Market
AT00,2035,1000,DSR,Post-CfE,Market
AT00,2035,1000,DSR,Pre-CfE,Market
AT00,2035,1348,Gas,Post-CfE,Market
AT00,2035,1348,Gas,Pre-CfE,Market
AT00,2035,3022,Non-market batteries,Post-CfE,Non-Market
AT00,2035,7015,Open loop pumping,Post-CfE,Market
AT00,2035,7015,Open loop pumping,Pre-CfE,Market
AT00,2035,617,Others (non-RES),Post-CfE,Market
AT00,2035,617,Others (non-RES),Pre-CfE,Market
AT00,2035,640,Others (RES),Pre-CfE,Market
AT00,2035,1149,Pondage,Post-CfE,Market
AT00,2035,1149,Pondage,Pre-CfE,Market
AT00,2035,2532,Reservoir,Post-CfE,Market
AT00,2035,2532,Reservoir,Pre-CfE,Market
AT00,2035,5413,Run of river,Post-CfE,Market
AT00,2035,5413,Run of river,Pre-CfE,Market
AT00,2035,640,Small biomass,Post-CfE,Market
AT00,2035,23435,Solar (PV),Post-CfE,Market
AT00,2035,23435,Solar (PV),Pre-CfE,Market
AT00,2035,0,Implicit solar PV,Post-CfE,Market
AT00,2035,14137,Implicit solar PV,Pre-CfE,Market
AT00,2035,10300,Wind onshore,Post-CfE,Market
AT00,2035,10300,Wind onshore,Pre-CfE,Market
BA00,2026,10,Battery,Post-CfE,Market
BA00,2026,10,Battery,Pre-CfE,Market
BA00,2026,1798,Lignite,Post-CfE,Market
BA00,2026,1798,Lignite,Pre-CfE,Market
BA00,2026,0,Non-market batteries,Post-CfE,Non-Market
BA00,2026,440,Open loop pumping,Post-CfE,Market
BA00,2026,440,Open loop pumping,Pre-CfE,Market
BA00,2026,228,Pondage,Post-CfE,Market
BA00,2026,228,Pondage,Pre-CfE,Market
BA00,2026,1456,Reservoir,Post-CfE,Market
BA00,2026,1456,Reservoir,Pre-CfE,Market
BA00,2026,41,Run of river,Post-CfE,Market
BA00,2026,41,Run of river,Pre-CfE,Market
BA00,2026,704,Solar (PV),Post-CfE,Market
BA00,2026,704,Solar (PV),Pre-CfE,Market
BA00,2026,0,Implicit solar PV,Post-CfE,Market
BA00,2026,1028,Wind onshore,Post-CfE,Market
BA00,2026,1028,Wind onshore,Pre-CfE,Market
BA00,2028,30,Battery,Post-CfE,Market
BA00,2028,30,Battery,Pre-CfE,Market
BA00,2028,1748,Lignite,Post-CfE,Market
BA00,2028,2028,Lignite,Pre-CfE,Market
BA00,2028,0,Non-market batteries,Post-CfE,Non-Market
BA00,2028,440,Open loop pumping,Post-CfE,Market
BA00,2028,440,Open loop pumping,Pre-CfE,Market
BA00,2028,228,Pondage,Post-CfE,Market
BA00,2028,228,Pondage,Pre-CfE,Market
BA00,2028,1616,Reservoir,Post-CfE,Market
BA00,2028,1616,Reservoir,Pre-CfE,Market
BA00,2028,41,Run of river,Post-CfE,Market
BA00,2028,41,Run of river,Pre-CfE,Market
BA00,2028,704,Solar (PV),Post-CfE,Market
BA00,2028,704,Solar (PV),Pre-CfE,Market
BA00,2028,0,Implicit solar PV,Post-CfE,Market
BA00,2028,1028,Wind onshore,Post-CfE,Market
BA00,2028,1028,Wind onshore,Pre-CfE,Market
BA00,2030,50,Battery,Post-CfE,Market
BA00,2030,50,Battery,Pre-CfE,Market
BA00,2030,1748,Lignite,Post-CfE,Market
BA00,2030,1748,Lignite,Pre-CfE,Market
BA00,2030,0,Non-market batteries,Post-CfE,Non-Market
BA00,2030,440,Open loop pumping,Post-CfE,Market
BA00,2030,440,Open loop pumping,Pre-CfE,Market
BA00,2030,228,Pondage,Post-CfE,Market
