MARKET_NODE,OP_STAT,MAX LOAD CAP (MW),STORAGE CAPACITY (MWh),TARGET_YEAR,Country,data_version
AT00,Available on market,916,1832,2028,AT,ERAA 2025 final
AT00,Out of market - for PV/battery dispatch optimization,2619.988,5239.976,2028,AT,ERAA 2025 final
BE00,Available on market,1200.62728,4091.277896,2028,BE,ERAA 2025 final
BG00,Available on market,848.4,1820,2028,BG,ERAA 2025 final
CH00,Out of market - for PV/battery dispatch optimization,2131,1060,2028,CH,ERAA 2025 final
CY00,Available on market,160,400,2028,CY,ERAA 2025 final
CZ00,Available on market,1255.99,2511.99,2028,CZ,ERAA 2025 final
DE00,Available on market,15021.71,30077.475,2028,DE,ERAA 2025 final
DE00,Out of market - for PV/battery dispatch optimization,22009.3,45119.065,2028,DE,ERAA 2025 final
DKE1,Available on market,225.43,450.84,2028,DK,ERAA 2025 final
DKW1,Available on market,211.79,423.58,2028,DK,ERAA 2025 final
EE00,Available on market,258,518,2028,EE,ERAA 2025 final
ES00,Available on market,2285.52,5841.04,2028,ES,ERAA 2025 final
FI00,Available on market,1911.1,3344.425,2028,FI,ERAA 2025 final
GR00,Available on market,1800,4500,2028,GR,ERAA 2025 final
HR00,Available on market,66,66,2028,HR,ERAA 2025 final
HU00,Available on market,504.7519667,1009.503933,2028,HU,ERAA 2025 final
HU00,Out of market - for PV/battery dispatch optimization,79.01333333,221.2373333,2028,HU,ERAA 2025 final
IE00,Available on market,539,1610,2028,IE,ERAA 2025 final
ITCA,Available on market,150.4,326.4,2028,IT,ERAA 2025 final
ITCN,Available on market,589.4,1400.25,2028,IT,ERAA 2025 final
ITCS,Available on market,1268.549,3124.976,2028,IT,ERAA 2025 final
ITN1,Available on market,4817.547,12937.57548,2028,IT,ERAA 2025 final
ITS1,Available on market,422.799,946.596,2028,IT,ERAA 2025 final
ITSA,Available on market,1035.9,3599.115,2028,IT,ERAA 2025 final
ITSI,Available on market,482.198,1233.692,2028,IT,ERAA 2025 final
LT00,Available on market,1120,3427.7,2028,LT,ERAA 2025 final
LT00,Out of market - primary purpose other operational activities,200,200,2028,LT,ERAA 2025 final
LUG1,Out of market - for PV/battery dispatch optimization,10,10,2028,LU,ERAA 2025 final
LV00,Available on market,170,340,2028,LV,ERAA 2025 final
MT00,Available on market,40,84,2028,MT,ERAA 2025 final
NL00,Available on market,6434.4,12928.8,2028,NL,ERAA 2025 final
PL00,Available on market,2113,9008,2028,PL,ERAA 2025 final
PT00,Available on market,300,1200,2028,PT,ERAA 2025 final
RO00,Available on market,1400,2800,2028,RO,ERAA 2025 final
RS00,Available on market,622.49,1978.56,2028,RS,ERAA 2025 final
SE01,Available on market,50,2,2028,SE,ERAA 2025 final
SE02,Available on market,50,82,2028,SE,ERAA 2025 final
SE03,Available on market,50,582,2028,SE,ERAA 2025 final
SE04,Available on market,50,560,2028,SE,ERAA 2025 final
SI00,Available on market,285.0833333,513.15,2028,SI,ERAA 2025 final
SK00,Available on market,230,460,2028,SK,ERAA 2025 final
UK00,Available on market,22039.01,38670.86,2028,UK,ERAA 2025 final
UKNI,Available on market,100,140,2028,UK,ERAA 2025 final
AT00,Available on market,1300,2600,2030,AT,ERAA 2025 final
AT00,Out of market - for PV/battery dispatch optimization,3699.99,7399.98,2030,AT,ERAA 2025 final
BE00,Available on market,2327.691176,7391.487363,2030,BE,ERAA 2025 final
BG00,Available on market,1228.4,2680,2030,BG,ERAA 2025 final
CH00,Out of market - for PV/battery dispatch optimization,2297,1150,2030,CH,ERAA 2025 final
CY00,Available on market,160,400,2030,CY,ERAA 2025 final
CZ00,Available on market,1722.6,3445.2,2030,CZ,ERAA 2025 final
DE00,Available on market,20953.54,42310.325,2030,DE,ERAA 2025 final
DE00,Out of market - for PV/battery dispatch optimization,27181.7,58440.655,2030,DE,ERAA 2025 final
DKE1,Available on market,257.87,515.74,2030,DK,ERAA 2025 final
DKW1,Available on market,569.43,16498.86,2030,DK,ERAA 2025 final
EE00,Available on market,1000,2000,2030,EE,ERAA 2025 final
ES00,Available on market,2558.52,6387.04,2030,ES,ERAA 2025 final
FI00,Available on market,3111.1,6222.2,2030,FI,ERAA 2025 final
GR00,Available on market,2977.5,7561.5,2030,GR,ERAA 2025 final
GR03,Available on market,50,130,2030,GR,ERAA 2025 final
HR00,Available on market,66,66,2030,HR,ERAA 2025 final
HU00,Available on market,538.4515667,1076.903133,2030,HU,ERAA 2025 final
HU00,Out of market - for PV/battery dispatch optimization,118.9633333,333.0973333,2030,HU,ERAA 2025 final
IE00,Available on market,539,1610,2030,IE,ERAA 2025 final
