data_version,YEAR,MARKET_NODE,Category,Value
ERAA 2024,2028,AL00,FCR,8
ERAA 2024,2028,AL00,FRR,149
ERAA 2024,2028,AT00,FCR,72.1
ERAA 2024,2028,AT00,FRR,480
ERAA 2024,2028,BE00,FCR,48
ERAA 2024,2028,BE00,FRR,466.8
ERAA 2024,2028,BG00,FCR,45
ERAA 2024,2028,BG00,FRR,905
ERAA 2024,2028,CH00,FCR,62
ERAA 2024,2028,CH00,FRR,907
ERAA 2024,2028,CZ00,FCR,23
ERAA 2024,2028,CZ00,FRR,810
ERAA 2024,2028,DE00,FCR,564
ERAA 2024,2028,DE00,FRR,2533
ERAA 2024,2028,DKE1,FCR,56.2
ERAA 2024,2028,DKE1,FRR,655.6
ERAA 2024,2028,DKW1,FCR,31.3
ERAA 2024,2028,DKW1,FRR,805
ERAA 2024,2028,EE00,FCR,12
ERAA 2024,2028,EE00,FRR,303
ERAA 2024,2028,ES00,FCR,350
ERAA 2024,2028,ES00,FRR,5250
ERAA 2024,2028,FI00,FCR,325
ERAA 2024,2028,FI00,FRR,1614
ERAA 2024,2028,FR00,FRR,1100
ERAA 2024,2028,GR00,FCR,40
ERAA 2024,2028,GR00,FRR,2350
ERAA 2024,2028,HR00,FCR,157
ERAA 2024,2028,HR00,FRR,150
ERAA 2024,2028,HU00,FCR,44
ERAA 2024,2028,HU00,FRR,2167
ERAA 2024,2028,IE00,FCR,393.8
ERAA 2024,2028,IE00,FRR,481.3
ERAA 2024,2028,ITCA,FCR,43
ERAA 2024,2028,ITCA,FRR,380
ERAA 2024,2028,ITCN,FCR,53
ERAA 2024,2028,ITCN,FRR,505
ERAA 2024,2028,ITCS,FCR,80
ERAA 2024,2028,ITCS,FRR,380
ERAA 2024,2028,ITN1,FCR,276
ERAA 2024,2028,ITN1,FRR,1010
ERAA 2024,2028,ITS1,FCR,43
ERAA 2024,2028,ITS1,FRR,390
ERAA 2024,2028,ITSA,FCR,16
ERAA 2024,2028,ITSA,FRR,280
ERAA 2024,2028,ITSI,FCR,32
ERAA 2024,2028,ITSI,FRR,1040
ERAA 2024,2028,LT00,FCR,16
ERAA 2024,2028,LT00,FRR,474
ERAA 2024,2028,MK00,FCR,8
ERAA 2024,2028,MK00,FRR,180
ERAA 2024,2028,MT00,FCR,9.5
ERAA 2024,2028,NL00,FCR,116
ERAA 2024,2028,NL00,FRR,1825
ERAA 2024,2028,NOM1,FCR,50
ERAA 2024,2028,NOM1,FRR,100
ERAA 2024,2028,NON1,FCR,50
ERAA 2024,2028,NON1,FRR,100
ERAA 2024,2028,NOS1,FCR,33
ERAA 2024,2028,NOS1,FRR,166
ERAA 2024,2028,NOS2,FCR,33
ERAA 2024,2028,NOS2,FRR,166
ERAA 2024,2028,NOS3,FCR,33
ERAA 2024,2028,NOS3,FRR,166
ERAA 2024,2028,PL00,FCR,200
ERAA 2024,2028,PL00,FRR,1000
ERAA 2024,2028,PT00,FCR,53
ERAA 2024,2028,PT00,FRR,1295
ERAA 2024,2028,RO00,FCR,60
ERAA 2024,2028,RO00,FRR,750
ERAA 2024,2028,RS00,FCR,68
ERAA 2024,2028,RS00,FRR,1675.2
ERAA 2024,2028,SE01,FCR,322
ERAA 2024,2028,SE01,FRR,105
ERAA 2024,2028,SE02,FCR,403
ERAA 2024,2028,SE02,FRR,105
ERAA 2024,2028,SE03,FCR,64
ERAA 2024,2028,SE03,FRR,391
ERAA 2024,2028,SE04,FCR,16.1
ERAA 2024,2028,SI00,FCR,29
ERAA 2024,2028,SI00,FRR,240
ERAA 2024,2028,SK00,FCR,28.2
ERAA 2024,2028,SK00,FRR,654
ERAA 2024,2028,UKNI,FCR,161
ERAA 2024,2028,UKNI,FRR,39
ERAA 2025 final,2028,AL00,FCR,8
ERAA 2025 final,2028,AL00,FRR,149
ERAA 2025 final,2028,AT00,FCR,64.998
ERAA 2025 final,2028,AT00,FRR,479.998
ERAA 2025 final,2028,BE00,FCR,44
ERAA 2025 final,2028,BE00,FRR,547
ERAA 2025 final,2028,BG00,FCR,45
ERAA 2025 final,2028,BG00,FRR,905
ERAA 2025 final,2028,CH00,FCR,67
ERAA 2025 final,2028,CH00,FRR,886
ERAA 2025 final,2028,CY00,FCR,30
ERAA 2025 final,2028,CY00,FRR,30
ERAA 2025 final,2028,CZ00,FCR,22
ERAA 2025 final,2028,CZ00,FRR,962
ERAA 2025 final,2028,DE00,FCR,564
ERAA 2025 final,2028,DE00,FRR,2550
ERAA 2025 final,2028,DKE1,FCR,50
ERAA 2025 final,2028,DKE1,FRR,550
ERAA 2025 final,2028,DKW1,FCR,25
ERAA 2025 final,2028,DKW1,FRR,550
ERAA 2025 final,2028,EE00,FCR,12
ERAA 2025 final,2028,EE00,FRR,303
ERAA 2025 final,2028,ES00,FCR,350
ERAA 2025 final,2028,ES00,FRR,6249.997
ERAA 2025 final,2028,FI00,FCR,325
ERAA 2025 final,2028,FI00,FRR,1613.999
ERAA 2025 final,2028,FR00,FRR,2100
ERAA 2025 final,2028,GR00,FCR,40
ERAA 2025 final,2028,GR00,FRR,1450
ERAA 2025 final,2028,HU00,FCR,21
ERAA 2025 final,2028,HU00,FRR,655.5
ERAA 2025 final,2028,IE00,FRR,1050
ERAA 2025 final,2028,ITCA,FCR,43
ERAA 2025 final,2028,ITCA,FRR,420
ERAA 2025 final,2028,ITCN,FCR,53
ERAA 2025 final,2028,ITCN,FRR,560
ERAA 2025 final,2028,ITCS,FCR,80
ERAA 2025 final,2028,ITCS,FRR,420
ERAA 2025 final,2028,ITN1,FCR,276
ERAA 2025 final,2028,ITN1,FRR,1130
ERAA 2025 final,2028,ITS1,FCR,43
ERAA 2025 final,2028,ITS1,FRR,420
ERAA 2025 final,2028,ITSA,FCR,16
ERAA 2025 final,2028,ITSA,FRR,300
ERAA 2025 final,2028,ITSI,FCR,32
ERAA 2025 final,2028,ITSI,FRR,1005
ERAA 2025 final,2028,LT00,FCR,16
ERAA 2025 final,2028,LT00,FRR,474
ERAA 2025 final,2028,MK00,FCR,8
ERAA 2025 final,2028,MK00,FRR,180
ERAA 2025 final,2028,NL00,FCR,116
ERAA 2025 final,2028,NL00,FRR,1825
ERAA 2025 final,2028,NOM1,FCR,300
ERAA 2025 final,2028,NOM1,FRR,600
ERAA 2025 final,2028,NON1,FCR,300
ERAA 2025 final,2028,NON1,FRR,600
ERAA 2025 final,2028,NOS1,FCR,300
ERAA 2025 final,2028,NOS1,FRR,600
ERAA 2025 final,2028,NOS2,FCR,300
ERAA 2025 final,2028,NOS2,FRR,600
ERAA 2025 final,2028,NOS3,FCR,300
ERAA 2025 final,2028,NOS3,FRR,600
ERAA 2025 final,2028,PL00,FCR,200
ERAA 2025 final,2028,PL00,FRR,1000
ERAA 2025 final,2028,PT00,FCR,53
ERAA 2025 final,2028,PT00,FRR,1300
