name,weather,neighbour,week,ImportTWh,ExportTWh
Základní,WS04,AT,1,0.101,0.01
Základní,WS04,AT,2,0.087,0.004
Základní,WS04,AT,3,0.101,0
Základní,WS04,AT,4,0.057,0.01
Základní,WS04,AT,5,0.082,0
Základní,WS04,AT,6,0.09,0.001
Základní,WS04,AT,7,0.073,0.001
Základní,WS04,AT,8,0.092,0.001
Základní,WS04,AT,9,0.086,0
Základní,WS04,AT,10,0.087,0
Základní,WS04,AT,11,0.103,0
Základní,WS04,AT,12,0.072,0.001
Základní,WS04,AT,13,0.082,0
Základní,WS04,AT,14,0.075,0.004
Základní,WS04,AT,15,0.115,0
Základní,WS04,AT,16,0.123,0
Základní,WS04,AT,17,0.115,0
Základní,WS04,AT,18,0.072,0.004
Základní,WS04,AT,19,0.104,0
Základní,WS04,AT,20,0.1,0
Základní,WS04,AT,21,0.112,0
Základní,WS04,AT,22,0.111,0
Základní,WS04,AT,23,0.105,0
Základní,WS04,AT,24,0.111,0
Základní,WS04,AT,25,0.085,0
Základní,WS04,AT,26,0.127,0
Základní,WS04,AT,27,0.119,0
Základní,WS04,AT,28,0.125,0
Základní,WS04,AT,29,0.112,0
Základní,WS04,AT,30,0.127,0
Základní,WS04,AT,31,0.085,0
Základní,WS04,AT,32,0.11,0
Základní,WS04,AT,33,0.117,0
Základní,WS04,AT,34,0.114,0
Základní,WS04,AT,35,0.112,0
Základní,WS04,AT,36,0.082,0
Základní,WS04,AT,37,0.106,0
Základní,WS04,AT,38,0.11,0.001
Základní,WS04,AT,39,0.087,0
Základní,WS04,AT,40,0.086,0.001
Základní,WS04,AT,41,0.112,0
Základní,WS04,AT,42,0.103,0
Základní,WS04,AT,43,0.072,0.003
Základní,WS04,AT,44,0.069,0
Základní,WS04,AT,45,0.062,0.007
Základní,WS04,AT,46,0.052,0.003
Základní,WS04,AT,47,0.061,0
Základní,WS04,AT,48,0.06,0.006
Základní,WS04,AT,49,0.066,0.012
Základní,WS04,AT,50,0.094,0
Základní,WS04,AT,51,0.065,0.002
Základní,WS04,AT,52,0.047,0.001
Základní,WS04,DE,1,0.163,0.005
Základní,WS04,DE,2,0.11,0.012
Základní,WS04,DE,3,0.174,0.006
Základní,WS04,DE,4,0.041,0.032
Základní,WS04,DE,5,0.063,0.05
Základní,WS04,DE,6,0.062,0.042
Základní,WS04,DE,7,0.012,0.062
Základní,WS04,DE,8,0.138,0.024
Základní,WS04,DE,9,0.077,0.048
Základní,WS04,DE,10,0.122,0.015
Základní,WS04,DE,11,0.128,0.012
Základní,WS04,DE,12,0.07,0.002
Základní,WS04,DE,13,0.057,0.023
Základní,WS04,DE,14,0.063,0.018
Základní,WS04,DE,15,0.072,0.023
Základní,WS04,DE,16,0.095,0.001
Základní,WS04,DE,17,0.095,0.019
Základní,WS04,DE,18,0.108,0.026
Základní,WS04,DE,19,0.098,0.002
Základní,WS04,DE,20,0.124,0.001
Základní,WS04,DE,21,0.117,0
Základní,WS04,DE,22,0.121,0
Základní,WS04,DE,23,0.137,0
Základní,WS04,DE,24,0.134,0
Základní,WS04,DE,25,0.123,0
Základní,WS04,DE,26,0.152,0
Základní,WS04,DE,27,0.128,0.002
Základní,WS04,DE,28,0.163,0
Základní,WS04,DE,29,0.116,0
Základní,WS04,DE,30,0.131,0
Základní,WS04,DE,31,0.149,0
Základní,WS04,DE,32,0.164,0
Základní,WS04,DE,33,0.151,0
Základní,WS04,DE,34,0.104,0
Základní,WS04,DE,35,0.084,0
Základní,WS04,DE,36,0.097,0
Základní,WS04,DE,37,0.114,0
Základní,WS04,DE,38,0.136,0.001
Základní,WS04,DE,39,0.083,0
Základní,WS04,DE,40,0.14,0.001
Základní,WS04,DE,41,0.148,0
Základní,WS04,DE,42,0.178,0.001
Základní,WS04,DE,43,0.066,0.011
Základní,WS04,DE,44,0.05,0.047
Základní,WS04,DE,45,0.033,0.074
Základní,WS04,DE,46,0.058,0.034
Základní,WS04,DE,47,0.089,0.023
Základní,WS04,DE,48,0.077,0.041
Základní,WS04,DE,49,0.044,0.041
Základní,WS04,DE,50,0.111,0.013
Základní,WS04,DE,51,0.089,0.042
Základní,WS04,DE,52,0.056,0.032
Základní,WS04,PL,1,0.035,0.023
Základní,WS04,PL,2,0.035,0.024
Základní,WS04,PL,3,0.005,0.046
Základní,WS04,PL,4,0.014,0.011
Základní,WS04,PL,5,0.042,0.008
Základní,WS04,PL,6,0.056,0.019
Základní,WS04,PL,7,0.001,0.017
Základní,WS04,PL,8,0.04,0.037
Základní,WS04,PL,9,0.023,0.035
Základní,WS04,PL,10,0.021,0.061
Základní,WS04,PL,11,0,0.115
Základní,WS04,PL,12,0.022,0.04
Základní,WS04,PL,13,0.003,0.087
Základní,WS04,PL,14,0.028,0.052
Základní,WS04,PL,15,0.01,0.082
Základní,WS04,PL,16,0.017,0.029
Základní,WS04,PL,17,0.016,0.02
Základní,WS04,PL,18,0.049,0.007
Základní,WS04,PL,19,0.002,0.112
Základní,WS04,PL,20,0.008,0.068
Základní,WS04,PL,21,0.001,0.07
Základní,WS04,PL,22,0.008,0.043
Základní,WS04,PL,23,0.031,0.033
Základní,WS04,PL,24,0.026,0.07
Základní,WS04,PL,25,0.029,0.057
Základní,WS04,PL,26,0.009,0.068
Základní,WS04,PL,27,0.023,0.026
Základní,WS04,PL,28,0,0.094
Základní,WS04,PL,29,0.021,0.062
Základní,WS04,PL,30,0.008,0.067
Základní,WS04,PL,31,0.045,0.005
Základní,WS04,PL,32,0.001,0.099
Základní,WS04,PL,33,0.005,0.064
Základní,WS04,PL,34,0.005,0.057
Základní,WS04,PL,35,0.008,0.057
Základní,WS04,PL,36,0.024,0.045
Základní,WS04,PL,37,0.022,0.052
Základní,WS04,PL,38,0.035,0.028
Základní,WS04,PL,39,0.021,0.05
Základní,WS04,PL,40,0.056,0.003
Základní,WS04,PL,41,0.01,0.1
Základní,WS04,PL,42,0.01,0.076
Základní,WS04,PL,43,0.015,0.057
Základní,WS04,PL,44,0.009,0.06
Základní,WS04,PL,45,0.003,0.059
Základní,WS04,PL,46,0.018,0.025
Základní,WS04,PL,47,0.031,0.047
Základní,WS04,PL,48,0.01,0.039
Základní,WS04,PL,49,0.017,0.022
Základní,WS04,PL,50,0.011,0.045
Základní,WS04,PL,51,0.025,0.042
Základní,WS04,PL,52,0.016,0.061
Základní,WS04,SK,1,0.037,0.001
Základní,WS04,SK,2,0.039,0.007
Základní,WS04,SK,3,0.023,0.003
Základní,WS04,SK,4,0.02,0.003
Základní,WS04,SK,5,0.084,0
Základní,WS04,SK,6,0.093,0.001
Základní,WS04,SK,7,0.098,0
Základní,WS04,SK,8,0.091,0
Základní,WS04,SK,9,0.111,0.004
Základní,WS04,SK,10,0.05,0
Základní,WS04,SK,11,0.077,0
Základní,WS04,SK,12,0.078,0
Základní,WS04,SK,13,0.08,0.007
Základní,WS04,SK,14,0.056,0.005
Základní,WS04,SK,15,0.083,0.001
Základní,WS04,SK,16,0.05,0
Základní,WS04,SK,17,0.037,0.003
Základní,WS04,SK,18,0.015,0.027
Základní,WS04,SK,19,0.027,0.015
Základní,WS04,SK,20,0.011,0.029
Základní,WS04,SK,21,0.001,0.041
Základní,WS04,SK,22,0.005,0.004
Základní,WS04,SK,23,0.004,0.022
Základní,WS04,SK,24,0.006,0.013
Základní,WS04,SK,25,0.017,0.012
Základní,WS04,SK,26,0.004,0.019
Základní,WS04,SK,27,0.024,0.02
Základní,WS04,SK,28,0.005,0.005
Základní,WS04,SK,29,0.037,0.008
Základní,WS04,SK,30,0.021,0
Základní,WS04,SK,31,0.026,0.017
Základní,WS04,SK,32,0.012,0.011
Základní,WS04,SK,33,0.014,0.01
Základní,WS04,SK,34,0.064,0.001
Základní,WS04,SK,35,0.055,0.002
Základní,WS04,SK,36,0.038,0.003
Základní,WS04,SK,37,0.019,0.017
Základní,WS04,SK,38,0.029,0.002
Základní,WS04,SK,39,0.012,0.008
Základní,WS04,SK,40,0.038,0.007
Základní,WS04,SK,41,0.013,0.002
Základní,WS04,SK,42,0.01,0.006
Základní,WS04,SK,43,0.033,0.005
Základní,WS04,SK,44,0.063,0.005
Základní,WS04,SK,45,0.057,0
