name,country_name,net_import_TWh,demand_TWh
Bez Sev.en a SUAS,Česko,12.175,66.478
Bez Sev.en a SUAS,Itálie,16.368,331.163
Bez Sev.en a SUAS,Švýcarsko,-13.006,63.351
Bez Sev.en a SUAS,Chorvatsko,-3.309,16.492
Bez Sev.en a SUAS,Řecko,-2.694,56.592
Bez Sev.en a SUAS,Slovensko,0.341,31.775
Bez Sev.en a SUAS,Irsko,3.776,42.472
Bez Sev.en a SUAS,Estonsko,3.678,9.836
Bez Sev.en a SUAS,Belgie,26.169,95.718
Bez Sev.en a SUAS,Francie,-75.286,498.607
Bez Sev.en a SUAS,Slovinsko,-1.774,15.838
Bez Sev.en a SUAS,Bulharsko,-1.411,32.631
Bez Sev.en a SUAS,Lotyšsko,-0.568,7.05
Bez Sev.en a SUAS,Maďarsko,4.379,50.945
Bez Sev.en a SUAS,Německo,30.334,590.797
Bez Sev.en a SUAS,Norsko,-8.758,148.91
Bez Sev.en a SUAS,Litva,-0.911,15.079
Bez Sev.en a SUAS,Lucembursko,6.519,7.728
Bez Sev.en a SUAS,Rakousko,-1.575,77.193
Bez Sev.en a SUAS,Finsko,7.872,93.39
Bez Sev.en a SUAS,Nizozemsko,4.122,156.616
Bez Sev.en a SUAS,Srbsko,15.687,45.586
Bez Sev.en a SUAS,Černá Hora,-2.161,3.334
Bez Sev.en a SUAS,Polsko,18.065,169.314
Bez Sev.en a SUAS,Bosna a Hercegovina,-0.109,11.393
Bez Sev.en a SUAS,Portugalsko,6.276,63.292
Bez Sev.en a SUAS,Švédsko,-29.305,155.476
Bez Sev.en a SUAS,Dánsko,3.78,52.355
Bez Sev.en a SUAS,Spojené království,-21.103,315.876
Bez Sev.en a SUAS,Španělsko,-2.454,273.224
Bez Sev.en a SUAS,Rumunsko,-10.739,56.233
Bez Sev.en a SUAS,Severní Makedonie,1.306,7.519
