name,weather,Date,neighbour,ExportGWh,ImportGWh
Základní,WS13,2018-01-08,PL,0,9.029
Základní,WS13,2018-01-08,SK,0,16.59
Základní,WS13,2018-01-08,AT,1.7,11.747
Základní,WS13,2018-01-08,DE,19.203,0.366
Základní,WS13,2018-01-09,PL,0,7.171
Základní,WS13,2018-01-09,SK,0,26.781
Základní,WS13,2018-01-09,AT,4.306,12.834
Základní,WS13,2018-01-09,DE,36,0
Základní,WS13,2018-01-10,PL,0.271,8.742
Základní,WS13,2018-01-10,SK,0,18.838
Základní,WS13,2018-01-10,AT,1.063,10.094
Základní,WS13,2018-01-10,DE,36,0
Základní,WS13,2018-01-11,PL,3.3,12.54
Základní,WS13,2018-01-11,SK,0,9.25
Základní,WS13,2018-01-11,AT,4.906,8.81
Základní,WS13,2018-01-11,DE,36,0
Základní,WS13,2018-01-12,PL,0,9.974
Základní,WS13,2018-01-12,SK,0,9.717
Základní,WS13,2018-01-12,AT,3.856,6.848
Základní,WS13,2018-01-12,DE,28.957,0
Základní,WS13,2018-01-13,PL,0.072,8.506
Základní,WS13,2018-01-13,SK,0.008,5.572
Základní,WS13,2018-01-13,AT,3.18,6.712
Základní,WS13,2018-01-13,DE,35.785,0
Základní,WS13,2018-01-14,PL,0.295,0.545
Základní,WS13,2018-01-14,SK,0,6.94
Základní,WS13,2018-01-14,AT,0.101,7.376
Základní,WS13,2018-01-14,DE,20.822,0
Základní,WS13,2018-01-15,PL,0,20.4
Základní,WS13,2018-01-15,SK,1.699,0
Základní,WS13,2018-01-15,AT,0.488,8.441
Základní,WS13,2018-01-15,DE,0,16.941
Základní,WS13,2018-01-16,PL,2.992,10.328
Základní,WS13,2018-01-16,SK,1.309,2.023
Základní,WS13,2018-01-16,AT,0.428,10.594
Základní,WS13,2018-01-16,DE,0,23.563
Základní,WS13,2018-01-17,PL,0,15.853
Základní,WS13,2018-01-17,SK,0.751,0
Základní,WS13,2018-01-17,AT,0,13.215
Základní,WS13,2018-01-17,DE,0,20.089
Základní,WS13,2018-01-18,PL,2.1,12.203
Základní,WS13,2018-01-18,SK,3.752,4.386
Základní,WS13,2018-01-18,AT,0.013,14.373
Základní,WS13,2018-01-18,DE,0,20.894
Základní,WS13,2018-01-19,PL,0,22.004
Základní,WS13,2018-01-19,SK,2.09,1.422
Základní,WS13,2018-01-19,AT,0,13.667
Základní,WS13,2018-01-19,DE,0,28.62
Základní,WS13,2018-01-20,PL,0,12.092
Základní,WS13,2018-01-20,SK,0.497,0.051
Základní,WS13,2018-01-20,AT,0,10.164
Základní,WS13,2018-01-20,DE,0,26.531
Základní,WS13,2018-01-21,PL,0,19.861
Základní,WS13,2018-01-21,SK,0.474,2.981
Základní,WS13,2018-01-21,AT,0,8.865
Základní,WS13,2018-01-21,DE,0,30.191
Základní+,WS13,2018-01-08,PL,0,12.971
Základní+,WS13,2018-01-08,SK,0,19.93
Základní+,WS13,2018-01-08,AT,0,10.934
Základní+,WS13,2018-01-08,DE,27.283,0.44
Základní+,WS13,2018-01-09,PL,0,18.045
Základní+,WS13,2018-01-09,SK,0,32.13
Základní+,WS13,2018-01-09,AT,1.648,15.381
Základní+,WS13,2018-01-09,DE,69.119,0
Základní+,WS13,2018-01-10,PL,0,13.538
Základní+,WS13,2018-01-10,SK,0,26.534
Základní+,WS13,2018-01-10,AT,0.128,11.957
Základní+,WS13,2018-01-10,DE,69.6,0
Základní+,WS13,2018-01-11,PL,0,17.681
Základní+,WS13,2018-01-11,SK,0,16.538
Základní+,WS13,2018-01-11,AT,2.503,10.437
Základní+,WS13,2018-01-11,DE,69.6,0
Základní+,WS13,2018-01-12,PL,0,16.513
Základní+,WS13,2018-01-12,SK,0,12.864
Základní+,WS13,2018-01-12,AT,1.982,8.729
Základní+,WS13,2018-01-12,DE,56.015,0
Základní+,WS13,2018-01-13,PL,0,9.78
Základní+,WS13,2018-01-13,SK,0,16.121
Základní+,WS13,2018-01-13,AT,0,8.799
Základní+,WS13,2018-01-13,DE,55.398,0
Základní+,WS13,2018-01-14,PL,0.275,0.463
Základní+,WS13,2018-01-14,SK,0,12.549
Základní+,WS13,2018-01-14,AT,0,8.493
Základní+,WS13,2018-01-14,DE,27.572,0
Základní+,WS13,2018-01-15,PL,0,17.802
Základní+,WS13,2018-01-15,SK,4.283,0
Základní+,WS13,2018-01-15,AT,0.352,6.848
Základní+,WS13,2018-01-15,DE,0,26.075
Základní+,WS13,2018-01-16,PL,4.544,8.755
Základní+,WS13,2018-01-16,SK,4.195,0.095
Základní+,WS13,2018-01-16,AT,0.162,9.691
Základní+,WS13,2018-01-16,DE,0,42.76
Základní+,WS13,2018-01-17,PL,0,11.705
Základní+,WS13,2018-01-17,SK,5.165,0
Základní+,WS13,2018-01-17,AT,0,13.063
Základní+,WS13,2018-01-17,DE,0,36.735
Základní+,WS13,2018-01-18,PL,3.031,10.255
Základní+,WS13,2018-01-18,SK,10.14,2.929
Základní+,WS13,2018-01-18,AT,0,14.096
Základní+,WS13,2018-01-18,DE,0,40.118
Základní+,WS13,2018-01-19,PL,0,19.23
Základní+,WS13,2018-01-19,SK,9.771,0.163
Základní+,WS13,2018-01-19,AT,0,7.342
Základní+,WS13,2018-01-19,DE,0,50.699
Základní+,WS13,2018-01-20,PL,0,8.407
Základní+,WS13,2018-01-20,SK,2.88,0.026
Základní+,WS13,2018-01-20,AT,0,0.895
Základní+,WS13,2018-01-20,DE,0,47.724
Základní+,WS13,2018-01-21,PL,0,14.238
Základní+,WS13,2018-01-21,SK,5.753,0.948
Základní+,WS13,2018-01-21,AT,0,5.828
Základní+,WS13,2018-01-21,DE,0,55.66
Bez Sev.en,WS13,2018-01-08,PL,0,11.166
Bez Sev.en,WS13,2018-01-08,SK,0,17.337
Bez Sev.en,WS13,2018-01-08,AT,1.321,12.267
Bez Sev.en,WS13,2018-01-08,DE,18.996,0.463
Bez Sev.en,WS13,2018-01-09,PL,0,10.679
Bez Sev.en,WS13,2018-01-09,SK,0,28.404
Bez Sev.en,WS13,2018-01-09,AT,4.051,13.885
Bez Sev.en,WS13,2018-01-09,DE,36,0
Bez Sev.en,WS13,2018-01-10,PL,0,13.115
Bez Sev.en,WS13,2018-01-10,SK,0,25.417
Bez Sev.en,WS13,2018-01-10,AT,0.137,12.022
Bez Sev.en,WS13,2018-01-10,DE,36,0
Bez Sev.en,WS13,2018-01-11,PL,0,17.749
Bez Sev.en,WS13,2018-01-11,SK,0,17.064
Bez Sev.en,WS13,2018-01-11,AT,2.54,10.906
Bez Sev.en,WS13,2018-01-11,DE,36,0
Bez Sev.en,WS13,2018-01-12,PL,0,17.143
Bez Sev.en,WS13,2018-01-12,SK,0,13.853
Bez Sev.en,WS13,2018-01-12,AT,2.1,12.786
Bez Sev.en,WS13,2018-01-12,DE,28.5,0
Bez Sev.en,WS13,2018-01-13,PL,0,8.534
Bez Sev.en,WS13,2018-01-13,SK,0,9.344
Bez Sev.en,WS13,2018-01-13,AT,2.137,7.222
Bez Sev.en,WS13,2018-01-13,DE,34.799,0
Bez Sev.en,WS13,2018-01-14,PL,0.177,0.824
Bez Sev.en,WS13,2018-01-14,SK,0,9.694
Bez Sev.en,WS13,2018-01-14,AT,0.037,7.701
Bez Sev.en,WS13,2018-01-14,DE,18.438,0
Bez Sev.en,WS13,2018-01-15,PL,0,20.156
Bez Sev.en,WS13,2018-01-15,SK,1.564,0
Bez Sev.en,WS13,2018-01-15,AT,0.566,8.476
Bez Sev.en,WS13,2018-01-15,DE,0,16.55
Bez Sev.en,WS13,2018-01-16,PL,2.859,10.335
Bez Sev.en,WS13,2018-01-16,SK,1.306,2.091
Bez Sev.en,WS13,2018-01-16,AT,0.428,10.638
Bez Sev.en,WS13,2018-01-16,DE,0,23.981
Bez Sev.en,WS13,2018-01-17,PL,0,15.915
Bez Sev.en,WS13,2018-01-17,SK,0.687,0
Bez Sev.en,WS13,2018-01-17,AT,0.202,13.215
Bez Sev.en,WS13,2018-01-17,DE,0,20.501
Bez Sev.en,WS13,2018-01-18,PL,2.1,12.467
Bez Sev.en,WS13,2018-01-18,SK,3.584,4.522
Bez Sev.en,WS13,2018-01-18,AT,0,14.483
Bez Sev.en,WS13,2018-01-18,DE,0,20.982
Bez Sev.en,WS13,2018-01-19,PL,0,22.004
Bez Sev.en,WS13,2018-01-19,SK,1.95,1.501
Bez Sev.en,WS13,2018-01-19,AT,0,13.512
Bez Sev.en,WS13,2018-01-19,DE,0,29.452
