name,region,week,Demand,Price
Základní,AT,1,1.768,97.479
Základní,AT,2,1.696,100.995
Základní,AT,3,1.646,97.362
Základní,AT,4,1.691,108.55
Základní,AT,5,1.938,109.494
Základní,AT,6,1.742,100.757
Základní,AT,7,1.585,107.652
Základní,AT,8,1.538,86.14
Základní,AT,9,1.499,87.696
Základní,AT,10,1.491,79.186
Základní,AT,11,1.661,94.902
Základní,AT,12,1.626,92.845
Základní,AT,13,1.414,81.816
Základní,AT,14,1.387,84.006
Základní,AT,15,1.548,87.807
Základní,AT,16,1.481,81.415
Základní,AT,17,1.367,75.309
Základní,AT,18,1.333,72.36
Základní,AT,19,1.383,80.378
Základní,AT,20,1.369,73.238
Základní,AT,21,1.279,61.365
Základní,AT,22,1.306,71.406
Základní,AT,23,1.344,59.18
Základní,AT,24,1.362,73.718
Základní,AT,25,1.353,68.202
Základní,AT,26,1.386,77.232
Základní,AT,27,1.357,73.115
Základní,AT,28,1.35,79.946
Základní,AT,29,1.367,82.612
Základní,AT,30,1.33,80.775
Základní,AT,31,1.304,68.599
Základní,AT,32,1.299,74.345
Základní,AT,33,1.277,73.735
Základní,AT,34,1.331,83.258
Základní,AT,35,1.324,80.967
Základní,AT,36,1.344,78.738
Základní,AT,37,1.363,81.418
Základní,AT,38,1.395,84.848
Základní,AT,39,1.39,83.613
Základní,AT,40,1.423,81.481
Základní,AT,41,1.408,83.793
Základní,AT,42,1.413,88.815
Základní,AT,43,1.463,95.41
Základní,AT,44,1.544,103.563
Základní,AT,45,1.648,107.133
Základní,AT,46,1.662,106.709
Základní,AT,47,1.644,100.567
Základní,AT,48,1.733,104.731
Základní,AT,49,1.71,106.903
Základní,AT,50,1.704,97.844
Základní,AT,51,1.684,99.331
Základní,AT,52,1.588,93.306
Základní,BA,1,0.276,95.617
Základní,BA,2,0.248,103.363
Základní,BA,3,0.237,101.012
Základní,BA,4,0.248,108.246
Základní,BA,5,0.267,102.664
Základní,BA,6,0.254,98.435
Základní,BA,7,0.231,98.54
Základní,BA,8,0.224,79.375
Základní,BA,9,0.215,82.741
Základní,BA,10,0.211,73.136
Základní,BA,11,0.226,90.174
Základní,BA,12,0.221,87.159
Základní,BA,13,0.205,78.529
Základní,BA,14,0.206,75.872
Základní,BA,15,0.218,78.699
Základní,BA,16,0.212,60.033
Základní,BA,17,0.203,68.91
Základní,BA,18,0.191,75.738
Základní,BA,19,0.2,80.877
Základní,BA,20,0.199,73.706
Základní,BA,21,0.194,64.43
Základní,BA,22,0.192,74.468
Základní,BA,23,0.193,65.141
Základní,BA,24,0.201,79.327
Základní,BA,25,0.2,72.284
Základní,BA,26,0.212,87.493
Základní,BA,27,0.199,78.771
Základní,BA,28,0.203,84.081
Základní,BA,29,0.211,83.682
Základní,BA,30,0.201,84.949
Základní,BA,31,0.202,77.073
Základní,BA,32,0.201,76.008
Základní,BA,33,0.201,79.903
Základní,BA,34,0.199,83.53
Základní,BA,35,0.199,77.088
Základní,BA,36,0.198,79.598
Základní,BA,37,0.198,83.435
Základní,BA,38,0.202,86.307
Základní,BA,39,0.204,87.094
Základní,BA,40,0.206,79.767
Základní,BA,41,0.207,86.868
Základní,BA,42,0.209,92.195
Základní,BA,43,0.215,90.516
Základní,BA,44,0.225,93.158
Základní,BA,45,0.238,93.752
Základní,BA,46,0.243,100.172
Základní,BA,47,0.241,92.899
Základní,BA,48,0.25,96.378
Základní,BA,49,0.254,97.312
Základní,BA,50,0.252,91.9
Základní,BA,51,0.25,95.645
Základní,BA,52,0.255,89.813
Základní,BE,1,2.226,89.422
Základní,BE,2,1.948,89.694
Základní,BE,3,1.967,81.162
Základní,BE,4,2.007,100.61
Základní,BE,5,2.269,111.593
Základní,BE,6,2.085,96.58
Základní,BE,7,2.168,102.09
Základní,BE,8,1.983,81.078
Základní,BE,9,1.918,85.228
Základní,BE,10,1.906,73.698
Základní,BE,11,2.031,84.513
Základní,BE,12,2.053,88.431
Základní,BE,13,1.872,79.827
Základní,BE,14,1.828,81.949
Základní,BE,15,1.947,86.154
Základní,BE,16,1.951,77.999
Základní,BE,17,1.826,72.042
Základní,BE,18,1.834,60.371
Základní,BE,19,1.796,70.4
Základní,BE,20,1.76,71.106
Základní,BE,21,1.685,60.936
Základní,BE,22,1.715,72.607
Základní,BE,23,1.718,44.261
Základní,BE,24,1.722,70.093
Základní,BE,25,1.715,67.12
Základní,BE,26,1.717,73.557
Základní,BE,27,1.73,69.153
Základní,BE,28,1.749,78.901
Základní,BE,29,1.619,83.601
Základní,BE,30,1.606,77.885
Základní,BE,31,1.606,71.608
Základní,BE,32,1.667,70.481
Základní,BE,33,1.72,69.556
Základní,BE,34,1.713,83.674
Základní,BE,35,1.704,82.984
Základní,BE,36,1.72,78.501
Základní,BE,37,1.728,77.891
Základní,BE,38,1.737,83.494
Základní,BE,39,1.741,83.406
Základní,BE,40,1.83,64.406
Základní,BE,41,1.768,81.592
Základní,BE,42,1.771,82.57
Základní,BE,43,1.876,87.055
Základní,BE,44,1.855,93.742
Základní,BE,45,1.847,93.892
Základní,BE,46,1.85,96.655
Základní,BE,47,1.926,88.788
Základní,BE,48,1.971,92.24
Základní,BE,49,1.929,96.571
Základní,BE,50,1.976,86.366
Základní,BE,51,1.978,94.248
Základní,BE,52,1.935,88.641
Základní,BG,1,0.83,87.051
Základní,BG,2,0.802,91.25
Základní,BG,3,0.704,87.058
Základní,BG,4,0.893,93.588
Základní,BG,5,0.927,87.552
Základní,BG,6,0.816,87.102
Základní,BG,7,0.681,85.941
Základní,BG,8,0.624,72.556
Základní,BG,9,0.577,69.257
Základní,BG,10,0.567,65.749
Základní,BG,11,0.654,85.03
Základní,BG,12,0.637,74.658
Základní,BG,13,0.563,68.233
Základní,BG,14,0.517,62.159
Základní,BG,15,0.599,65.978
Základní,BG,16,0.557,62.315
Základní,BG,17,0.54,61.388
Základní,BG,18,0.522,75.519
Základní,BG,19,0.545,76.776
Základní,BG,20,0.544,74.069
Základní,BG,21,0.546,64.657
Základní,BG,22,0.525,68.326
Základní,BG,23,0.529,60.105
Základní,BG,24,0.547,70.469
Základní,BG,25,0.564,66.561
Základní,BG,26,0.563,73.125
Základní,BG,27,0.558,74.3
Základní,BG,28,0.54,72.02
Základní,BG,29,0.595,73.869
Základní,BG,30,0.563,80.34
Základní,BG,31,0.572,67.237
Základní,BG,32,0.537,64.767
Základní,BG,33,0.535,72.325
Základní,BG,34,0.549,75.041
Základní,BG,35,0.525,62.834
Základní,BG,36,0.524,71.585
Základní,BG,37,0.529,71.636
Základní,BG,38,0.524,81.63
Základní,BG,39,0.529,81.905
Základní,BG,40,0.534,75.195
Základní,BG,41,0.54,79.096
Základní,BG,42,0.563,86.141
Základní,BG,43,0.563,80.497
Základní,BG,44,0.603,82.607
Základní,BG,45,0.664,85.091
Základní,BG,46,0.677,87.808
Základní,BG,47,0.732,83.872
Základní,BG,48,0.85,86.921
Základní,BG,49,0.798,89.55
Základní,BG,50,0.742,82.441
Základní,BG,51,0.75,87.32
Základní,BG,52,0.631,86.334
Základní,CH,1,1.636,89.32
Základní,CH,2,1.413,89.016
Základní,CH,3,1.356,85.171
Základní,CH,4,1.409,89.405
Základní,CH,5,1.665,93.162
Základní,CH,6,1.514,89.696
Základní,CH,7,1.387,92.577
Základní,CH,8,1.327,81.914
Základní,CH,9,1.266,82.334
Základní,CH,10,1.229,71.846
Základní,CH,11,1.329,87.235
Základní,CH,12,1.394,86.484
Základní,CH,13,1.165,76.492
Základní,CH,14,1.135,80.053
Základní,CH,15,1.239,82.777
