name,region,source_group,production_TWh,country_name
Bez Sev.en a SUAS,AT,Bio,0.178,Rakousko
Bez Sev.en a SUAS,AT,Gas,16.758,Rakousko
Bez Sev.en a SUAS,AT,Hydro,30.238,Rakousko
Bez Sev.en a SUAS,AT,NetImport,-1.575,Rakousko
Bez Sev.en a SUAS,AT,Other,0.473,Rakousko
Bez Sev.en a SUAS,AT,Solar,18.274,Rakousko
Bez Sev.en a SUAS,AT,Wind,17.735,Rakousko
Bez Sev.en a SUAS,BA,Coal,0,Bosna a Hercegovina
Bez Sev.en a SUAS,BA,Hydro,6.165,Bosna a Hercegovina
Bez Sev.en a SUAS,BA,NetImport,-0.109,Bosna a Hercegovina
Bez Sev.en a SUAS,BA,Solar,2.386,Bosna a Hercegovina
Bez Sev.en a SUAS,BA,Wind,3.467,Bosna a Hercegovina
Bez Sev.en a SUAS,BE,Bio,0.31,Belgie
Bez Sev.en a SUAS,BE,Gas,21.691,Belgie
Bez Sev.en a SUAS,BE,Hydro,0.451,Belgie
Bez Sev.en a SUAS,BE,NetImport,26.169,Belgie
Bez Sev.en a SUAS,BE,Nuclear,9.464,Belgie
Bez Sev.en a SUAS,BE,Other,0.155,Belgie
Bez Sev.en a SUAS,BE,Solar,13.2,Belgie
Bez Sev.en a SUAS,BE,Wind,24.977,Belgie
Bez Sev.en a SUAS,BG,Bio,0,Bulharsko
Bez Sev.en a SUAS,BG,Coal,0,Bulharsko
Bez Sev.en a SUAS,BG,Gas,4.422,Bulharsko
Bez Sev.en a SUAS,BG,Hydro,4.228,Bulharsko
Bez Sev.en a SUAS,BG,NetImport,-1.411,Bulharsko
Bez Sev.en a SUAS,BG,Nuclear,16.046,Bulharsko
Bez Sev.en a SUAS,BG,Solar,7.206,Bulharsko
Bez Sev.en a SUAS,BG,Wind,3.086,Bulharsko
Bez Sev.en a SUAS,CH,Bio,0.006,Švýcarsko
Bez Sev.en a SUAS,CH,Gas,1.133,Švýcarsko
Bez Sev.en a SUAS,CH,Hydro,39.198,Švýcarsko
Bez Sev.en a SUAS,CH,NetImport,-13.006,Švýcarsko
Bez Sev.en a SUAS,CH,Nuclear,22.052,Švýcarsko
Bez Sev.en a SUAS,CH,Other,1.012,Švýcarsko
Bez Sev.en a SUAS,CH,Solar,15.941,Švýcarsko
Bez Sev.en a SUAS,CH,Wind,0.46,Švýcarsko
Bez Sev.en a SUAS,CZ,Bio,0.82,Česko
Bez Sev.en a SUAS,CZ,Coal,5.212,Česko
Bez Sev.en a SUAS,CZ,Gas,8.684,Česko
Bez Sev.en a SUAS,CZ,Hydro,2.353,Česko
Bez Sev.en a SUAS,CZ,NetImport,12.175,Česko
Bez Sev.en a SUAS,CZ,Nuclear,28.599,Česko
Bez Sev.en a SUAS,CZ,Other,1.143,Česko
Bez Sev.en a SUAS,CZ,Solar,7.138,Česko
Bez Sev.en a SUAS,CZ,Wind,1.082,Česko
Bez Sev.en a SUAS,DE,Coal,8.974,Německo
